,loss,global_pointer_1_loss,global_pointer_2_loss,global_pointer_3_loss
0,94.17584101829047,10.724606102784398,42.044893861357345,41.40634114875796
1,20.760770695371953,4.77069211180751,8.040705484345963,7.949373128482492
2,17.233251386959438,4.272994888835608,6.531828698773407,6.428427804770917
3,15.762300104582456,3.9981464757207,5.9357639273404,5.828389667468686
4,14.759198588568077,3.800489970185998,5.536462289168501,5.422246348318325
5,13.930256087823729,3.6086950652294556,5.2068931759962584,5.114667901833841
6,13.213667817823774,3.4510621870068694,4.9298143858556775,4.832791237512205
7,12.549879027407275,3.292459717670805,4.6662399605715725,4.59117933576331
8,11.994849438796658,3.145588442025403,4.463606669169705,4.385654346340496
9,11.481211081468308,3.018592341107981,4.276431757682653,4.186186992521025
10,10.948661538029707,2.8961641741094915,4.074010597760811,3.978486778496848
11,10.444249094609178,2.7634750795095018,3.8693381651765226,3.8114358528495558
12,10.043337652096149,2.669012026986664,3.7244348276591763,3.649890786542812
13,9.588316219007131,2.5477190551934727,3.5590405266307723,3.481556654375495
14,9.147339751226765,2.4390219012450056,3.3880170998326222,3.320300749783337
15,8.748914906316676,2.3301757348532357,3.2426021438453376,3.176137011456385
16,8.374526127951524,2.2357774569122135,3.0966398004824103,3.0421088563073204
17,8.04578694639466,2.1502079580840943,2.970291051541057,2.9252879250888437
18,7.686021745899114,2.063885872588014,2.839132305717641,2.7830035795775725
19,7.3657742776052,1.9789095599162994,2.7244540601521905,2.6624106540782355
20,7.042140414387422,1.8890315981388126,2.606390584570168,2.546718250483896
21,6.760080784365957,1.8246775921755019,2.5020022722241335,2.4334009345733882
22,6.451694008662067,1.7382149422748192,2.3895526687689377,2.3239264149855052
23,6.18954645445909,1.6758934945539414,2.2882525408248853,2.2254004324153422
24,5.934721058836142,1.6100478489467627,2.185865917758834,2.1388072607382393
25,5.674419710930276,1.5495938782920082,2.087955168179949,2.036870659910757
26,5.443801390940994,1.4811882606501425,2.015618005987906,1.9469951156442888
27,5.209135179714525,1.425855696488145,1.9190553020288674,1.8642241749124004
28,5.002439629674931,1.3560049142479373,1.8590115856297953,1.7874231227659365
29,4.832022365811097,1.3256501688668898,1.777728757188862,1.7286434464062579
30,4.620631613685825,1.2597431497549245,1.7036932060613619,1.6571952499300127
31,4.44793854608422,1.217892867633094,1.6369225885572274,1.5931230769246199
32,4.272037650158119,1.1697046962403064,1.5734430808742572,1.5288898692494182
