,epoch,f1,recall,precision
0,1,1.8844812965230965e-14,9.422406482615572e-15,1.0
1,2,1.8844812965230965e-14,9.422406482615572e-15,1.0
2,3,1.8844812965230965e-14,9.422406482615572e-15,1.0
3,4,1.8844812965230965e-14,9.422406482615572e-15,1.0
4,5,0.06132848043677777,0.031753509846423895,0.89389920424406
5,6,0.22093584177521755,0.12946386507114738,0.7528767123287806
6,7,0.32491339491917837,0.21209836992368594,0.6941103916127137
7,8,0.3874750166555711,0.2740035805144702,0.6613600181942311
8,9,0.43621810905453434,0.32865353811364056,0.6484476668525814
9,10,0.47217417238294696,0.3729388485819337,0.6433680104031267
10,11,0.4968064905920997,0.40676528785452365,0.6380431569612823
11,12,0.5164366655447155,0.4337133703948042,0.6381533342575955
12,13,0.5298486932599776,0.4536888721379492,0.6367363131446755
13,14,0.5448156557465721,0.47479506265900806,0.639061509194678
14,15,0.5561743600728333,0.48930556864223607,0.6442128768142954
15,16,0.562938549861795,0.4989164232545039,0.6458104646908203
16,17,0.5706441393875441,0.5091868463205549,0.6489732196469359
17,18,0.5761892247043409,0.5164420993121689,0.6515691868758957
18,19,0.5794549266247424,0.5208706303589982,0.6528876815873432
19,20,0.5828410100904524,0.5252049373410014,0.6546863988724494
20,21,0.5862590641139382,0.5294450202581784,0.6567321178120658
21,22,0.5896356359478186,0.5344388956939646,0.6575469510781399
22,23,0.5902167697665999,0.5349100160180954,0.6582792207792247
23,24,0.5920622568093428,0.537642513898054,0.6587393211729432
24,25,0.5926503456520652,0.5371713935739232,0.660908880129844
25,26,0.5930589520786764,0.5369829454442708,0.6622124099465528
26,27,0.5930003115588369,0.5380194101573585,0.6604973973395065
27,28,0.5944769701051801,0.5405634599076647,0.6603360957642764
28,29,0.5952799917192879,0.5418825968152309,0.6603513606613887
29,30,0.5944045094895838,0.5415057005559263,0.658757450710687
30,31,0.5927150607078316,0.5404692358428386,0.6561427590940327
31,32,0.5950139650356926,0.541976820880057,0.6595573902075489
32,33,0.5961230292065175,0.5432959577876233,0.6603298213467744
33,34,0.5965112065841959,0.5429190615283186,0.6618424075350372
34,35,0.5981995033112625,0.5447093187600156,0.6633390705679901
35,36,0.5999689778191448,0.5466880241213649,0.664757103574706
36,37,0.6003316749585448,0.5457457834731033,0.6670505585627126
37,38,0.6002800684611835,0.5452746631489725,0.6676280572219697
38,39,0.6008204808641056,0.5450862150193202,0.6692503470615494
39,40,0.600838379133679,0.5469706963158434,0.6664753157290509
40,41,0.6018604651162832,0.5486667294827141,0.6664759070619244
41,42,0.6020250025829156,0.5490436257420188,0.6663236134934286
42,43,0.6034108527131824,0.5500800904551065,0.6681927435046393
43,44,0.6046583850931718,0.550362762649585,0.6708395543815359
44,45,0.6037462485770506,0.5497031941958018,0.6695741994720571
45,46,0.6033670033670074,0.5487609535475403,0.6700414173953099
46,47,0.6032980709396432,0.5481013850937572,0.6708568792526851
47,48,0.6037970743853138,0.5483840572882357,0.6716676283900788
48,49,0.6033919402520658,0.5481013850937572,0.6710890632210467
49,50,0.6041850563373009,0.5481956091585833,0.6729123294008829
50,51,0.6054636877300337,0.5502685385847588,0.6729661212260928
51,52,0.6059883961873228,0.5511165551681941,0.6729950523530126
52,53,0.6061455413682175,0.5501743145199326,0.6747948688316229
53,54,0.6065829093552112,0.5504569867144111,0.6754538096889852
54,55,0.6063090173290484,0.5505512107792373,0.6746334141554131
55,56,0.6052290965570841,0.5507396589088895,0.6716846701907645
56,57,0.6039450583496891,0.5510223311033681,0.6681137895578697
57,58,0.6054629008106613,0.5524356920757604,0.6697509709846965
58,59,0.6064676102903234,0.5530952605295435,0.6712407089765617
59,60,0.6046415464930004,0.5511165551681941,0.6696817036867453
60,61,0.6055254324812848,0.5524356920757604,0.6699040219378466
61,62,0.6073363256461889,0.554602845566762,0.6711516533637438
62,63,0.6056323499071632,0.5531894845943696,0.6690598290598329
63,64,0.6054639175257772,0.5533779327240219,0.6683737339251205
64,65,0.6061074205674896,0.5545086215019358,0.6682943447649368
65,66,0.6084142394822046,0.5579949119005035,0.668850237180939
66,67,0.6085702513391058,0.5566757749929374,0.6711348403953236
67,68,0.6089829633453835,0.5557335343446759,0.6735183281945909
68,69,0.6084443068029358,0.5553566380853712,0.6727542517977437
69,70,0.6077672907318623,0.5551681899557189,0.6713764813126747
70,71,0.6088976052848926,0.5558277584095019,0.673171288371566
71,72,0.6090369222824724,0.5556393102798497,0.6737888482632578
72,73,0.6096842540437227,0.5558277584095019,0.6750972762645951
73,74,0.6089246978617952,0.5554508621501973,0.6737912904331961
74,75,0.607843137254906,0.5549797418260666,0.6718375727158701
75,76,0.6068922822946801,0.5542259493074573,0.6706190856230798
76,77,0.6070765421910501,0.5545086215019358,0.6706552706552744
77,78,0.6069733855993439,0.5544143974371096,0.6705413105413143
78,79,0.6072719760355376,0.5539432771129789,0.6719625100011467
79,80,0.6079660226860765,0.5530010364647173,0.6750632620197875
80,81,0.6075792089459556,0.5529068123998911,0.6742502585315446
81,82,0.6069265413884184,0.5523414680109342,0.6734834558823567
82,83,0.6052454606590492,0.5512107792330203,0.6710254645560946
